year,scenario,scenario_label,company,reachable_pop,effective_covered_pop,trip_intensity_per_capita,annual_ride_miles_demand,fleet_demand,fleet_supply_cap,fleet_operating,gross_passenger_revenue,net_platform_revenue,revenue_miles_per_vehicle_day,readiness_friction
2027,platform_dominance,Platform dominance — winner-take-most dynamics,tesla,105799999.99999999,82523999.99999999,80.19,26470398239.999996,413544.4770997304,785564.9999999999,413544.4770997304,29117438064.0,8152882657.920001,175.36599575046264,0.8581489350995123
2028,platform_dominance,Platform dominance — winner-take-most dynamics,waymo,182160000.0,100188000.00000001,86.13,34516769760.0,434772.01668935345,1106622.0,434772.01668935345,65581862544.0,22953651890.399998,217.50823158593224,0.3775406687981454
2028,platform_dominance,Platform dominance — winner-take-most dynamics,tesla,238049999.99999997,185678999.99999997,86.13,63970129079.999985,999399.152991015,2651281.8749999995,999399.152991015,70367141987.99998,19702799756.64,175.36599575046264,0.8581489350995123
2029,platform_dominance,Platform dominance — winner-take-most dynamics,waymo,232760000.0,128018000.00000001,92.07000000000001,47146469040.00001,593855.2641753048,1885356.0000000002,593855.2641753048,89578291176.00003,31352401911.60001,217.50823158593224,0.3775406687981454
2029,platform_dominance,Platform dominance — winner-take-most dynamics,tesla,304174999.99999994,237256499.99999997,92.07000000000001,87376823820.0,1365079.6859819805,4158000.0,1365079.6859819805,96114506202.00002,26912061736.560005,175.36599575046264,0.8581489350995123
2030,platform_dominance,Platform dominance — winner-take-most dynamics,waymo,283360000.0,155848000.0,98.01,61098649920.0,769596.4433351774,2835000.0,769596.4433351774,116087434847.99998,40630602196.799995,217.50823158593224,0.3775406687981454
2030,platform_dominance,Platform dominance — winner-take-most dynamics,tesla,370299999.99999994,288833999.99999994,98.01,113234481359.99998,1769051.3742599578,5197500.0,1769051.3742599578,124557929496.0,34876220258.880005,175.36599575046264,0.8581489350995123
2031,platform_dominance,Platform dominance — winner-take-most dynamics,waymo,298540000.0,164197000.0,103.95,68273112600.0,859965.722666202,3402000.0,859965.722666202,129718913940.0,45401619879.0,217.50823158593224,0.3775406687981454
2031,platform_dominance,Platform dominance — winner-take-most dynamics,tesla,390137499.99999994,304307249.99999994,103.95,126530954549.99998,1976780.8916919983,6237000.0,1976780.8916919983,139184050005.0,38971534001.4,175.36599575046264,0.8581489350995123
2032,platform_dominance,Platform dominance — winner-take-most dynamics,waymo,308660000.0,169763000.0,109.89000000000001,74621024280.00002,939923.7947010258,3969000.0,939923.7947010258,141779946132.00003,49622981146.200005,217.50823158593224,0.3775406687981454
2032,platform_dominance,Platform dominance — winner-take-most dynamics,tesla,403362499.99999994,314622749.99999994,109.89000000000001,138295575990.0,2160578.4370696563,7276500.0,2160578.4370696563,152125133588.99997,42595037404.92,175.36599575046264,0.8581489350995123
2033,platform_dominance,Platform dominance — winner-take-most dynamics,waymo,315744000.0,173659200.0,115.83000000000001,80459780544.00002,1013468.5630413897,4536000.0,1013468.5630413897,152873583033.60004,53505754061.76001,217.50823158593224,0.3775406687981454
2033,platform_dominance,Platform dominance — winner-take-most dynamics,tesla,412619999.99999994,321843599.99999994,115.83000000000001,149116576752.0,2329633.8876618147,8316000.0,2329633.8876618147,164028234427.19998,45927905639.616,175.36599575046264,0.8581489350995123
2034,platform_dominance,Platform dominance — winner-take-most dynamics,waymo,321816000.0,176998800.0,121.77,86212575504.0,1085930.5658229485,5103000.0,1085930.5658229485,163803893457.6,57331362710.159996,217.50823158593224,0.3775406687981454
2034,platform_dominance,Platform dominance — winner-take-most dynamics,tesla,420554999.99999994,328032899.99999994,121.77,159778264931.99997,2496200.413160317,9355500.0,2496200.413160317,175756091425.19998,49211705599.056,175.36599575046264,0.8581489350995123
2035,platform_dominance,Platform dominance — winner-take-most dynamics,waymo,325864000.0,179225200.0,127.71000000000001,91555401168.0,1153228.6097855917,5670000.0,1153228.6097855917,173955262219.2,60884341776.72,217.50823158593224,0.3775406687981454
2035,platform_dominance,Platform dominance — winner-take-most dynamics,tesla,425844999.99999994,332159099.99999994,127.71000000000001,169680154643.99997,2650896.680519846,10395000.0,2650896.680519846,186648170108.4,52261487630.352005,175.36599575046264,0.8581489350995123
